buoy_chunk_20251019_191142|2023-01-12T02:00:00.000Z|241059|70M|2025-10-19T19:19:21
buoy_chunk_20251019_195036|2023-03-23T02:00:00.000Z|2312743|669M|2025-10-19T19:58:20
buoy_chunk_20251019_200907|2023-06-01T02:00:00.000Z|2340599|677M|2025-10-19T20:16:58
buoy_chunk_20251019_202549|2023-08-10T02:00:00.000Z|2440866|707M|2025-10-19T20:33:05
buoy_chunk_20251019_204757|2023-10-19T02:00:00.000Z|2521363|731M|2025-10-19T20:54:48
buoy_chunk_20251019_210043|2023-12-28T02:00:00.000Z|4381973|1.3G|2025-10-19T21:07:23
buoy_chunk_20251019_211555|2024-03-07T02:00:00.000Z|5856974|1.7G|2025-10-19T21:22:30
buoy_chunk_20251019_213907|2024-05-16T02:00:00.000Z|4830761|1.4G|2025-10-19T21:44:46
buoy_chunk_20251019_220421|2024-07-25T02:00:00.000Z|6304642|1.8G|2025-10-19T22:09:35
buoy_chunk_20251026_103713|2024-10-03T02:00:00.000Z|5898864|1.7G|2025-10-26T10:41:58
buoy_chunk_20251026_105426|2024-12-12T02:00:00.000Z|6133644|1.8G|2025-10-26T11:00:13
buoy_chunk_20251026_111010|2025-02-20T02:00:00.000Z|7042029|2.3G|2025-10-26T11:13:58
buoy_chunk_20251026_113423|2025-03-06T19:00:00.000Z|7275036|2.5G|2025-10-26T11:37:41
buoy_chunk_20251026_114526|2025-05-15T19:00:00.000Z|7408515|2.5G|2025-10-26T11:48:16
buoy_chunk_20251026_115804|2025-07-24T19:00:00.000Z|7272055|2.4G|2025-10-26T12:00:05
buoy_chunk_20251026_121132|2025-10-02T19:00:00.000Z|6898390|1.8G|2025-10-26T12:12:53
